id,name,contact_phone,email,guardian_name,guardian_phone,skills_qualifications,disability_type,disability_subcategory,age,nationality,trainings_acquired,area_of_interest,current_status,institution_or_employer,suggested_suitability,aptitude_score_percent,aptitude_category,IQ_level
100,Sophia Johnson,971559658271,sophia.johnson.100@example.com,Fatima Al Mazroui,971543000000,"Graphic design, Transcription",Speech,Speech impairment,42,Indian,Data entry,Hospitality,Working,Company B (Hospitality),"Back-office roles (data entry, admin)",65,Average,86
101,Noah Hall,971546914630,noah.hall.101@example.com,Yusuf Al Hosani,971560000000,Sales support,Mental Health,Chronic mental health condition,24,Egyptian,"Soft skills & communication, Project-based training (3 months)",Data & Analytics,Unemployed,Not currently enrolled or employed,Supportive workplace (part-time),70,Good,106
102,Ali Al Rumaithi,971524105648,ali.al.rumaithi.102@example.com,Rashid Al Hammadi,971508000000,Gardening,Visual,Low vision,39,Emirati,,Administration,Unemployed,Not currently enrolled or employed,"Audio-based roles (call center, voice transcription)",81,Good,112
103,Ahmed Al Neyadi,971507562208,ahmed.al.neyadi.103@example.com,Lucas Williams,971544000000,Accounting basics,Physical,Limb loss / amputation,48,Egyptian,Soft skills & communication,IT & Digital,Freelance,Not currently enrolled or employed,"Remote/desk roles (customer support, data entry)",44,Below Average,88
104,Ethan Jones,971541870534,ethan.jones.104@example.com,Sanjay Thomas,971564000000,"Data entry, Bookkeeping",Speech,Speech impairment,31,Emirati,"Basic IT (MS Office), Barista & cafe skills",IT & Digital,Unemployed,Not currently enrolled or employed,IT & digital work,72,Good,106
105,Ethan Brown,971528367024,ethan.brown.105@example.com,Salma Al Ali,971556000000,"Customer support, Assembly & packing, Web development",Learning,Dyslexia / learning difficulty,41,Emirati,Bookkeeping,Handicrafts & Art,Unemployed,Not currently enrolled or employed,Supervised admin tasks,72,Good,140
106,Asha Varma,971547431329,asha.varma.106@example.com,Aisha Al Muhairi,971558000000,Graphic design,Intellectual,Moderate intellectual disability,35,Indian,Bookkeeping,Creative/Design,Unemployed,Not currently enrolled or employed,Hospitality support roles with routines,73,Good,113
107,Saeed Al Muhairi,971503568044,saeed.al.muhairi.107@example.com,Noah Smith,971558000000,Bookkeeping,Speech,Speech impairment,24,Emirati,Sign language (basic),Creative/Design,Working,Freelance / Self-employed,Graphic design/creative roles,79,Good,107
108,Emma Allen,971564101372,emma.allen.108@example.com,Saeed Al Hosani,971507000000,Kitchen assistant,Physical,Mobility impairment (wheelchair user),40,Egyptian,Vocational tailoring,Handicrafts & Art,Working,Gulf Vocational Center,"Remote/desk roles (customer support, data entry)",60,Average,109
109,Deepa Raj,971584768701,deepa.raj.109@example.com,Ali Al Falasi,971528000000,"Content writing, Warehouse assistant, Security",Autism,Autism Spectrum Disorder - High support,47,Indian,"Vocational tailoring, Basic IT (MS Office)",Manufacturing,Vocational training,Technical College Abu Dhabi,Creative/design with clear briefs,53,Average,97
110,Omar Al Ali,971549321334,omar.al.ali.110@example.com,Ibrahim Thomas,971504000000,"Kitchen assistant, Gardening, Data entry",Autism,Autism Spectrum Disorder - Low support,36,Bangladeshi,"Special education support, Project-based training (3 months)",Retail,Vocational training,Online training - Coursera,Creative/design with clear briefs,57,Average,100
111,Neha Cherian,971501039308,neha.cherian.111@example.com,Priya Balakrishnan,971523000000,"Kitchen assistant, Graphic design, Tailoring",Autism,Autism Spectrum Disorder - Low support,25,Syrian,"Special education support, Hospitality training, Barista & cafe skills",Handicrafts & Art,Working,Gulf Vocational Center,Supported workplace with routine,99,Excellent,77
112,Mia Taylor,971528953926,mia.taylor.112@example.com,Noor Al Muhairi,971521000000,"IT support, Sales support, Web development",Hearing,Deaf,55,Emirati,"Graphic design, Sign language (advanced)",Manufacturing,Freelance,Not currently enrolled or employed,"Visual roles (data entry, graphic design)",75,Good,80
113,Ravi Thomas,971585704331,ravi.thomas.113@example.com,Aisha Al Rumaithi,971501000000,Sales support,Intellectual,Mild intellectual disability,38,Pakistani,Vocational tailoring,Customer Service,Studying,Technical College Abu Dhabi,Supported employment with job coach,57,Average,113
114,Hessa Al Hosani,971505262181,hessa.al.hosani.114@example.com,Mariam Al Shamsi,971581000000,Assembly & packing,Physical,Limb loss / amputation,37,Emirati,"Bookkeeping, Project-based training (3 months)",Administration,Studying,Private School Abu Dhabi,Supervised workshop tasks,65,Average,87
115,Maya Nair,971505061497,maya.nair.115@example.com,Ahmed Al Neyadi,971524000000,"Transcription, Security, Accounting basics",Intellectual,Moderate intellectual disability,58,Indian,"Warehouse operations, Retail operations",Retail,Working,Special Needs Centre Ras Al Khaimah,Supported employment with job coach,54,Average,108
116,Arjun Patel,971560211586,arjun.patel.116@example.com,Amelia Williams,971561000000,"Customer support, Content writing",Visual,Blind / no vision,46,Indian,Hospitality training,Data & Analytics,Working,Gulf Vocational Center,"Audio-based roles (call center, voice transcription)",54,Average,102
117,Noah Smith,971551632945,noah.smith.117@example.com,Emma Brown,971559000000,"Gardening, Content writing, Assembly & packing",Multiple,Multiple disabilities,16,Syrian,,Education Support,Studying,Company C (IT services),Customized supported employment plan,65,Average,92
118,Ibrahim Singh,971509148564,ibrahim.singh.118@example.com,Omar Al Qubaisi,971567000000,Security,Autism,Autism Spectrum Disorder - Low support,59,Egyptian,"Sign language (advanced), Advanced IT (Web dev)",Accounting/Finance,Working,Special Needs Centre Ras Al Khaimah,Creative/design with clear briefs,97,Excellent,107
119,Noor Al Mansoori,971547132475,noor.al.mansoori.119@example.com,Yusuf Al Qubaisi,971581000000,"Accounting basics, Graphic design, Retail cashier",Multiple,Multiple disabilities,39,Bangladeshi,"Customer service, Soft skills & communication, Basic IT (MS Office)",Retail,Studying,Online training - Coursera,Customized supported employment plan,34,Needs Support,102
120,Olivia Smith,971550534578,olivia.smith.120@example.com,Aisha Al Hammadi,971504000000,Social media management,Autism,Autism Spectrum Disorder - Low support,51,Indian,,Handicrafts & Art,Studying,Technical College Abu Dhabi,"IT & structured tasks (data, QA)",55,Average,110
121,Olivia Williams,971583346800,olivia.williams.121@example.com,Neha Menon,971529000000,"Social media management, Handicrafts",Intellectual,Mild intellectual disability,40,British,"Bookkeeping, Soft skills & communication, Warehouse operations",Agriculture/Gardening,Studying,Company B (Hospitality),Hospitality support roles with routines,53,Average,98
122,Sophia Hall,971589944171,sophia.hall.122@example.com,Hessa Al Hammadi,971544000000,"Web development, Data entry",Physical,Mobility impairment (wheelchair user),54,Indian,"Bookkeeping, Data entry, Mobile phone repair",Education Support,Working,Technical College Abu Dhabi,Supervised workshop tasks,72,Good,110
123,Deepa Raj,971543875842,deepa.raj.123@example.com,Mason Johnson,971542000000,Retail cashier,Learning,Dyslexia / learning difficulty,21,Emirati,"Barista & cafe skills, Retail operations, Data entry",Agriculture/Gardening,Working,Higher Learning Dubai,Supervised admin tasks,46,Below Average,95
124,Rashid Al Qubaisi,971561738168,rashid.al.qubaisi.124@example.com,Mohammed Al Muhairi,971524000000,"Warehouse assistant, Accounting basics",Multiple,Multiple disabilities,27,Syrian,"Advanced IT (Web dev), Basic IT (MS Office)",Customer Service,Working,Gulf Vocational Center,Customized supported employment plan,57,Average,92
125,Neha Cherian,971521296666,neha.cherian.125@example.com,Lucas Smith,971508000000,"Bookkeeping, Tailoring, Kitchen assistant",Physical,Mobility impairment (wheelchair user),59,Emirati,"Customer service, Hospitality training",Education Support,Working,Special Needs Centre Ras Al Khaimah,"Remote/desk roles (customer support, data entry)",91,Excellent,104
126,Mohammed Al Mansoori,971547898562,mohammed.al.mansoori.126@example.com,Omar Al Blooshi,971523000000,IT support,Visual,Blind / no vision,17,Filipino,"Advanced IT (Web dev), Warehouse operations",Technical Repair,Vocational training,Company B (Hospitality),IT roles with screen-reader support,46,Below Average,111
127,Mohammed Al Hammadi,971500016761,mohammed.al.hammadi.127@example.com,Maya Thomas,971523000000,"IT support, Content writing",Autism,Autism Spectrum Disorder - Low support,54,Egyptian,,Handicrafts & Art,Studying,Higher Learning Dubai,Creative/design with clear briefs,96,Excellent,112
128,Khalid Al Mansoori,971528356420,khalid.al.mansoori.128@example.com,Farah Raj,971588000000,Graphic design,Multiple,Multiple disabilities,52,Egyptian,,Accounting/Finance,Unemployed,Not currently enrolled or employed,Customized supported employment plan,42,Below Average,94
129,Olivia Clark,971544701204,olivia.clark.129@example.com,Saeed Al Falasi,971581000000,"Graphic design, Kitchen assistant",Hearing,Deaf,44,Other,"Vocational tailoring, Hospitality training",Education Support,Working,Company A (Retail),On-site assembly/packing,84,Good,91
130,Mia Davis,971582120216,mia.davis.130@example.com,Mia Allen,971587000000,"Web development, Sales support, Gardening",Multiple,Multiple disabilities,59,British,,Technical Repair,Working,Technical College Abu Dhabi,Customized supported employment plan,71,Good,109
131,Saeed Al Mazroui,971588993588,saeed.al.mazroui.131@example.com,Deepa Singh,971554000000,Content writing,Physical,Mobility impairment (wheelchair user),16,Filipino,"Online freelancing (Upwork), Vocational tailoring, Graphic design",Data & Analytics,Working,Online training - Coursera,Accessible admin/IT roles,51,Average,99
132,Liam Hall,971528663177,liam.hall.132@example.com,Mia Brown,971528000000,"Data entry, Graphic design, Retail cashier",Intellectual,Mild intellectual disability,42,Emirati,CNC basics,Manufacturing,Working,Technical College Abu Dhabi,"Structured vocational roles (assembly, packaging)",30,Needs Support,87
133,Sophia Hall,971529975711,sophia.hall.133@example.com,Arjun Kumar,971545000000,"Assembly & packing, IT support, Social media management",Visual,Low vision,47,Emirati,Sign language (basic),Hospitality,Freelance,Not currently enrolled or employed,"Tactile/vocational roles (tailoring, assembly)",61,Average,85
134,Khalid Al Rumaithi,971541609177,khalid.al.rumaithi.134@example.com,Kamal Nair,971551000000,Web development,Autism,Autism Spectrum Disorder - High support,27,Egyptian,,Education Support,Vocational training,Company C (IT services),Creative/design with clear briefs,89,Excellent,82
135,Anoop Reddy,971563465472,anoop.reddy.135@example.com,Mariam Al Rumaithi,971588000000,"Kitchen assistant, Web development, Accounting basics",Visual,Blind / no vision,55,Egyptian,"Hospitality training, Retail operations",Logistics & Warehouse,Working,Company C (IT services),IT roles with screen-reader support,58,Average,101
136,Rahul Thomas,971528460810,rahul.thomas.136@example.com,Mohammed Al Hammadi,971503000000,"Customer support, Kitchen assistant, Admin assistance",Mental Health,Chronic mental health condition,34,Emirati,,Agriculture/Gardening,Unemployed,Not currently enrolled or employed,Creative/artisan roles,86,Excellent,82
137,Arjun Thomas,971588638406,arjun.thomas.137@example.com,Saeed Al Ali,971500000000,"Handicrafts, Tailoring, Retail cashier",Speech,Speech impairment,53,Pakistani,"Vocational tailoring, Graphic design, Project-based training (3 months)",Retail,Unemployed,Not currently enrolled or employed,"Back-office roles (data entry, admin)",82,Good,100
138,Yusuf Al Mansoori,971564229405,yusuf.al.mansoori.138@example.com,Farah Nair,971503000000,Warehouse assistant,Speech,Speech impairment,52,Pakistani,Vocational tailoring,Logistics & Warehouse,Studying,Company B (Hospitality),"Back-office roles (data entry, admin)",50,Average,105
139,Latifa Al Falasi,971505335554,latifa.al.falasi.139@example.com,Mariam Al Ali,971558000000,"Warehouse assistant, Security, IT support",Autism,Autism Spectrum Disorder - Low support,31,Other,"Data entry, Life skills & mobility training, Bookkeeping",IT & Digital,Freelance,Not currently enrolled or employed,Creative/design with clear briefs,67,Average,92
140,Kamal Cherian,971550435811,kamal.cherian.140@example.com,Latifa Al Ali,971501000000,"Assembly & packing, Graphic design, Web development",Multiple,Multiple disabilities,60,British,,Customer Service,Unemployed,Not currently enrolled or employed,Customized supported employment plan,66,Average,95
141,Fatima Al Mazroui,971524819346,fatima.al.mazroui.141@example.com,Huda Al Falasi,971541000000,Kitchen assistant,Speech,Speech impairment,53,Emirati,,Handicrafts & Art,Unemployed,Not currently enrolled or employed,IT & digital work,66,Average,107
142,Sanjay Cherian,971556072832,sanjay.cherian.142@example.com,Ibrahim Mohan,971542000000,"Security, Transcription, Gardening",Physical,Limb loss / amputation,18,Emirati,,Handicrafts & Art,Studying,Not currently enrolled or employed,Supervised workshop tasks,88,Excellent,85
143,Yusuf Al Hammadi,971528222394,yusuf.al.hammadi.143@example.com,Hamad Al Hammadi,971529000000,Gardening,Learning,Dyslexia / learning difficulty,20,Indian,"Barista & cafe skills, Retail operations, Customer service",Sales & Marketing,Vocational training,Higher Learning Dubai,Supervised admin tasks,96,Excellent,76
144,Farah Raj,971547759492,farah.raj.144@example.com,Priya Varma,971552000000,"Warehouse assistant, Sales support, Admin assistance",Multiple,Multiple disabilities,39,Emirati,"Retail operations, Bookkeeping, Online freelancing (Upwork)",Logistics & Warehouse,Studying,Freelance / Self-employed,Customized supported employment plan,62,Average,107
145,Reema Patel,971522834110,reema.patel.145@example.com,Liam Allen,971567000000,Kitchen assistant,Autism,Autism Spectrum Disorder - High support,46,Filipino,"Sign language (advanced), Special education support, Bookkeeping",Retail,Working,Company B (Hospitality),"IT & structured tasks (data, QA)",69,Average,92
146,Majid Al Mazroui,971583928272,majid.al.mazroui.146@example.com,Rashid Al Hammadi,971523000000,Handicrafts,Physical,Limb loss / amputation,32,Indian,"Warehouse operations, Online freelancing (Upwork)",Technical Repair,Working,Technical College Abu Dhabi,"Remote/desk roles (customer support, data entry)",61,Average,94
